P_MASS,P_RADIUS,P_DENSITY,P_GRAVITY,P_ESCAPE,P_TYPE,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_PERIASTRON,P_APASTRON,P_IMPACT_PARAMETER,P_HILL_SPHERE,S_MASS,S_RADIUS,S_LUMINOSITY,S_TEMPERATURE,S_AGE,S_METALLICITY,S_LOG_G,S_TYPE,S_MAG,S_SNOW_LINE,S_TIDAL_LOCK,P_DETECTION,P_DISTANCE
6165.8633,63.955953346373555,74.07749261925126,158.0115685234229,17.863314584087416,0.0,326.03,1.29,0.231,12.126096140796777,94.8,0.99201,1.58799,0.811689331317365,0.13067063,2.7,19.0,163.5468,4742.0,194079.05086513518,0.0,2.31,109.0,4.74,34.529063,0.64240028,7.0,1.3244178
4684.7848,74.75022710777942,43.05207580736901,83.00783911300402,6.555274394437227,0.0,516.21997,1.53,0.08,0.0,218.96296559168536,1.4076,1.6524,0.6945471255236112,0.16755064,2.78,29.79,250.49294,4213.0,161669.21879977197,0.0,1.93,145.0,5.016,42.732816,0.64868332,7.0,1.534896
1525.5744,29.37916669166569,72.36249105154384,159.74861042946165,10.869027383356116,0.0,185.84,0.83,0.0,63.564099349320045,0.0,0.83,0.83,0.727773724404325,0.073485255,2.2,11.0,58.175144,4813.0,175515.6529795684,0.0,2.63,91.0,5.227,20.593611,0.60001028,7.0,0.83
1481.0785,17.026825526626688,4.817621129439647,44.42192163220826,6.986553966320505,0.0,1773.4,2.93,0.37,73.16939719832801,487.308809056192,1.8459,4.0141,0.799581283037674,0.217991,0.9,0.93,0.62917118,5338.0,52565.25187267307,0.41,4.45,115.0,6.61,2.1416484,0.44541547,7.0,3.1305585
565.73385,7.588268032862137,35.7441984735132,70.73609757102507,7.161747335792601,0.0,798.5,1.66,0.68,86.38875285341086,303.49937068439624,0.5312,2.7888,0.4256140433690267,0.042832433,1.08,1.13,1.2505956,5750.0,72200.98090599847,0.06,4.36,59.0,6.25,3.019411,0.47332457,7.0,2.043792
3273.6284,33.6319625828927,47.60401817105815,69.67994271920246,13.818906278150314,0.0,993.3,2.6,0.08,56.255644646366186,166.1,2.392,2.808,0.48688877627021854,0.26914123,2.3,8.5,39.782769,4979.0,24448.00653455614,0.0,2.82,83.0,5.506,17.029868,0.60896698,7.0,2.60832
2542.624,23.10689190838912,50.02851209003166,69.55290263165092,0.0,0.0,9735031.149752658,330.0,0.0,0.0,0.0,330.0,330.0,348.6145391914099,47.561283,0.85,3.5651023104372666,0.0,4060.0,0.005,0.16261776690925178,3.1726765432647266,156.0,2.3354758875366564,10.353222281368927,0.14012839,2.0,330.0
289.22348,24.62333149472226,34.549714434125484,30.006008267729676,5.108688407637678,0.0,30.3506,0.19,0.042,68.18578430714184,210.0,0.18202,0.19798,0.9707590514735334,0.012081025,0.99,10.64,58.139697,4893.0,6.92,0.0,2.42,67.0,5.58,20.587336,0.49217655,7.0,0.19016758
632.47773,19.78705415893073,46.29219476657778,46.58483965016224,0.7774816371236968,0.0,452.8,1.333,0.09,71.74842034065357,9.2,1.21303,1.45297,0.7798175001018032,0.090191357,1.54,4.9,14.530486,5098.0,2.7,0.0,3.5,112.0,6.441,10.292096,0.48748251,7.0,1.3383987
273.33208,20.834797493059742,3.071798181559603,0.0,4.534541869641828,0.0,883.0,2.08,0.29,69.94949571081726,220.5,1.4768,2.6832,0.9485703428711723,0.083016328,1.54,4.9,14.530486,5098.0,2.7,0.0,3.5,112.0,6.441,10.292096,0.48748251,7.0,2.167464
7786.7861,15.66887970465114,31.68634881380622,68.68721624383049,27.16184187113444,0.0,1063857.803327438,52.0,0.0,18.62249028904568,0.0,52.0,52.0,57.965204644313125,13.992264,0.4,6.051183728749753,12.818864660024179,3530.0,0.12,0.0,4.2058672978444305,190.0,14.24,9.505843335853873,0.18511504,2.0,52.0
4417.8092,16.1424,1.0502741,16.953944,16.543196,0.0,390502.85127650324,156.0,0.0,0.0,0.0,156.0,156.0,39.861441149097786,53.43772,0.11,0.28,0.006190985,3064.0,0.035,0.0,4.59,199.0,15.158753215386628,0.2124436,0.098031817,2.0,156.0
2383.71,11.508792334264237,21.93162892136759,25.37131031267181,5.221352709963931,0.0,1884629.9700034517,15.0,0.0,102.70268297861841,0.0,15.0,15.0,53.32008271659336,7.3838744,0.02,5.12908560214724,20.219232289987104,520.1441289047625,0.001,0.0,4.094610076897855,205.0,11.482275425224616,6.6492066852685,0.030706817,2.0,15.0
1271.312,4.2078914950881385,86.34455493938036,93.67668182176203,8.998733679759196,0.0,378700.71927717805,46.0,0.0,25.045816158087927,0.0,46.0,46.0,33.63952506056746,18.363288,0.02,2.6498329696679535,19.095327273537226,2105.9570309504575,0.008,0.0,5.169472513070293,204.0,20.15,1.8070553611571696,0.043425998,2.0,46.0
603.87321,16.47791490731875,138.9014329019714,206.43035940055762,9.661483156545426,0.0,416.0,0.92,0.08600215625466613,58.36573681491295,113.87687405500854,0.92,0.92,0.456004411562015,0.099343902,0.48,5.914692077522882,47.656405255512276,8318.096987380173,174874.6414083682,0.07420966878818433,3.9534522669507655,45.0,12.264,10.596580524394883,0.36121425,1.0,0.92
6658.4967,10.3132,6.0701002,62.602158,25.409222,0.0,7336.5,3.1832024870762567,0.26,46.2,223.0,2.3555768,4.010847,1.3529484221569787,1.0287533,0.08,0.12,0.00036104595,2300.0,38879.95969322453,0.0,4.34061938767794,205.0,14.13268831540103,0.051303266,0.19878386,2.0,3.2908045
3972.85,25.314271099586637,17.86228306902966,18.163729597985533,15.735475464817931,0.0,1470023.2777348573,230.0,0.0,0.0,0.0,230.0,230.0,215.78671323499285,43.201288,0.6,8.870461510083523,68.78057110472129,4045.0,0.12,0.0,4.1883611001292556,156.0,12.51,14.219906490063668,0.21190382,2.0,230.0
4392.383,7.02245606511074,32.493997323702295,155.5450744827527,23.50883260565415,0.0,335.10001,0.99,0.29,74.44226213227454,227.86456807962395,0.7029,1.2771,0.46308802360798945,0.092482534,1.93,1.41,2.8616474,6331.0,184444.4919686283,0.19,4.43,28.0,6.962,4.5674293,0.57438563,7.0,1.0316295
2256.5788,56.81070030495829,25.241181225603324,14.783128365913027,1.052672927682952,0.0,269.3,0.87,0.432,25.216168548091773,23.81,0.49416,1.24584,0.5680985396357002,0.060511038,1.23,18.11,111.64734,4415.0,4.604,0.0,1.8,119.0,4.61,28.529093,0.49436657,7.0,0.95118144
1233.1727,50.780620372646425,63.52709607682842,40.54894101540757,3.8826663843353635,0.0,479.1,1.19,0.38,25.75330952841778,218.7,0.7378,1.6422,0.32498365248331224,0.079675195,0.98,22.03,135.3053,4200.0,9.49,0.0,1.71,126.0,4.82,31.406618,0.51702463,7.0,1.275918
804.10485,7.611076823598768,79.35853666289536,88.40288618867444,10.862103076740965,0.0,1078.0,2.1,0.032,86.22398739287839,334.0,2.0328,2.1672,0.5644746546660478,0.18722838,1.03,1.23,1.6336154,5892.0,7.3,0.0,4.27,45.0,5.05,3.4509501,0.50318118,7.0,2.1010752
171.62712,13.291508006306497,55.18426457874729,39.311120368810386,7.037555025248542,0.0,2391.0,3.6,0.098,84.95256064578767,295.0,3.2472,3.9528,0.9180239721472961,0.17873536,1.03,1.23,1.6336154,5892.0,7.3,0.0,4.27,45.0,5.05,3.4509501,0.50318118,7.0,3.6172872
521.23792,22.79227930148796,27.967069642917338,30.238583439238838,5.764399779918653,0.0,14002.0,11.6,0.16,89.88599807469532,110.0,9.744,13.456,1.7972988119198257,0.77670377,1.03,1.23,1.6336154,5892.0,7.3,0.0,4.27,45.0,5.05,3.4509501,0.50318118,7.0,11.74848
1398.1453797788538,28.8020078355372,48.64127766342173,81.39933316401847,16.195827999996308,0.0,11688.0,12.0,0.45,133.0,87.0,6.6,17.4,1.2117580007891622,5.790253976208945,1.75,0.4747491580371722,16.941172121332436,3256.738150670761,0.02,0.0,3.866861533265304,15.0,5.23,2.0133196157372666,0.2245997,2.0,13.215
150.01482,14.752862674318916,39.92806710729598,47.5416561460371,9.477315055012745,0.0,4.230785,0.0527,0.013,84.01763685806905,58.0,0.0520149,0.0533851,1.02680187258859,0.0026620631,1.12,1.2,1.4529988,5793.0,4.0,0.2,4.33,58.0,5.5,3.2545908,0.46806645,7.0,0.052704453
263.98794,2.6295706047161698,100.70791865362182,96.4829018365214,4.71901317135274,0.0,14.65152,0.115227,0.0034,90.0,98.0,0.11483523,0.11561877,0.1968331738235516,0.0076039848,0.91,0.94,0.57705994,5196.0,10.2,0.31,4.45,96.0,5.96,2.0510405,0.51051127,7.0,0.11522767
54.47572,14.865440775610121,42.8302590474053,44.733058317615665,4.557194210330361,0.0,44.4175,0.241376,0.02,90.0,51.0,0.23654848,0.24620352,0.7320230910052459,0.0092560542,0.91,0.94,0.57705994,5196.0,10.2,0.31,4.45,96.0,5.96,2.0510405,0.51051127,7.0,0.24142428
1232.537,10.944412527804033,4.117326402621161,22.79777573066344,7.924559163340028,0.0,4825.0,5.503,0.019,90.0,44.0,5.398443,5.607557,0.5196242246295142,0.59745691,0.91,0.94,0.57705994,5196.0,10.2,0.31,4.45,96.0,5.96,2.0510405,0.51051127,7.0,5.5039933
8.0791878,1.9057,1.1673581,2.2246343,2.0590011,4.0,0.736539,0.01544,0.3148161173100513,83.3,311.2725621205897,0.01544,0.01544,0.41,0.00031979715,0.91,0.94,0.57705994,5196.0,10.2,0.31,4.45,96.0,5.96,2.0510405,0.51051127,7.0,0.01544
44.813748,4.950616822385552,19.214034960123126,25.225075509852932,3.3409894506470303,2.0,262.0,0.788,0.305,90.0,166.0,0.54766,1.02834,0.4101898675151649,0.020079498,0.91,0.94,0.57705994,5196.0,10.2,0.31,4.45,96.0,5.96,2.0510405,0.51051127,7.0,0.82465185
638.83429,19.281633109824046,22.150457759300902,29.87897282088533,8.048269345672985,0.0,934.3,2.11,0.073,73.16748695070466,130.0,1.95597,2.26403,0.7213947742377127,0.14921849,1.44,5.2,14.404549,4938.0,0.0,0.0,3.19,110.0,5.86,10.247398,0.5209611,7.0,2.1156221
